,index,idiom,source,frequency,length
6,7,一了百了,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",14,4
34,35,一刀兩斷,"[B]:中國成語大辭典
[C]:經典成語
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",18,4
82,83,一五一十,"[B]:中國成語大辭典
[C]:經典成語
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",14,4
84,85,一介不取,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AC]:成語典",18,4
120,121,一孔之見,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",17,4
126,127,一心一意,"[B]:中國成語大辭典
[E]:成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[P(上)]:成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",14,4
127,128,一心一德,"[E]:成語辭典
[G(2)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[AC]:成語典",11,4
140,141,一手遮天,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",17,4
154,155,一日三秋,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Y]:新編成語故事
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",18,4
155,156,一日千里,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[P(下)]:成語分類辭典(上)(下)
[Q]:繪圖成語故事三百篇(上)(中)(下)
[R]:新編兒童成語小百科(1)~(12)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Y]:新編成語故事
[AA]:成語典故文選(上)(下)
[AC]:成語典
[AD]:洪葉活用成語辭典",23,4
